iter	Logloss
0	0.6904841549
1	0.6877604344
2	0.6850576717
3	0.6826474902
4	0.680220829
5	0.6782615157
6	0.6763741206
7	0.6743765646
8	0.6723436817
9	0.6700433996
10	0.6684097726
11	0.6665885137
12	0.6649765877
13	0.6632393487
14	0.6615283087
15	0.6602476045
16	0.658527258
17	0.6571791137
18	0.6557558799
19	0.6546015594
20	0.6533993325
21	0.651997245
22	0.6511247853
23	0.6500282937
24	0.648770712
25	0.6476072704
26	0.6465051934
27	0.6456102624
28	0.6444015485
29	0.6434318952
30	0.642419439
31	0.6415416215
32	0.6407744314
33	0.6400293702
34	0.6392567386
35	0.6386201279
36	0.6378288832
37	0.6369312203
38	0.6361438689
39	0.6352784935
40	0.6345870133
41	0.6339576706
42	0.6334713359
43	0.6326209376
44	0.6317992664
45	0.6312457715
46	0.6306233646
47	0.6300638487
48	0.629444486
49	0.6289404763
50	0.6284448
51	0.6278343803
52	0.6272358883
53	0.6267824364
54	0.6260099775
55	0.6254221665
56	0.6247778996
57	0.624286044
58	0.6236631002
59	0.6231694405
60	0.6225849745
61	0.6220113092
62	0.6215137878
63	0.6210020006
64	0.6203882186
65	0.6197672755
66	0.6193271764
67	0.6189397015
68	0.6184792164
69	0.6180145003
70	0.6174934508
71	0.6169889055
72	0.6164739689
73	0.6161608515
74	0.6156520207
75	0.6152033522
76	0.6147972817
77	0.614415761
78	0.6141070981
79	0.6136993124
80	0.6132867931
81	0.6128121627
82	0.6125589193
83	0.6122418248
84	0.6117805007
85	0.6113946454
86	0.6110083151
87	0.6106539383
88	0.6103453476
89	0.6099381816
90	0.6096455553
91	0.6093078375
92	0.6089849823
93	0.6084801172
94	0.6081692401
95	0.6078690419
96	0.6075399235
97	0.6070807154
98	0.6067212063
99	0.606423
100	0.6061126121
101	0.6058737763
102	0.6055722119
103	0.605084114
104	0.604797512
105	0.6044236908
106	0.6040589413
107	0.6035183443
108	0.6031569261
109	0.602850518
110	0.60262225
111	0.6019703842
112	0.6016645072
113	0.6013882089
114	0.6011725213
115	0.60079279
116	0.6004735901
117	0.600058783
118	0.5997509007
119	0.5995032362
120	0.5991895199
121	0.5987876152
122	0.5983746817
123	0.5980437862
124	0.5977061899
125	0.597399743
126	0.5970286032
127	0.5967617232
128	0.5965397029
129	0.5962458871
130	0.5959336027
131	0.5956274706
132	0.5952042515
133	0.5948582374
134	0.5944970459
135	0.5941280412
136	0.5939561623
137	0.5936093676
138	0.5933603362
139	0.5930363338
140	0.5927436468
141	0.5925449525
142	0.592311353
143	0.5920675556
144	0.5918761207
145	0.5916829514
146	0.5914874373
147	0.5912504868
148	0.5909495827
149	0.5906135527
150	0.5902750415
151	0.5901436033
152	0.5898865724
153	0.589642883
154	0.5894054424
155	0.589133931
156	0.5888743963
157	0.588560112
158	0.5883250823
159	0.5881971411
160	0.5879081283
161	0.5876530799
162	0.5874074958
163	0.5871123291
164	0.5868408691
165	0.5866493685
166	0.5863799311
167	0.58611434
168	0.5859043627
169	0.5856490808
170	0.5854131259
171	0.5851395552
172	0.5848721612
173	0.5846808643
174	0.5844713551
175	0.5842526839
176	0.5841509116
177	0.5839244562
178	0.5836092564
179	0.5834309739
180	0.5831878004
181	0.5829214495
182	0.5827082022
183	0.5825377047
184	0.5822578391
185	0.5820133907
186	0.5818902929
187	0.5816467187
188	0.5815637732
189	0.5813075894
190	0.5810707945
191	0.5809227438
192	0.5806528151
193	0.5804660169
194	0.5802263321
195	0.5799675896
196	0.5797666924
197	0.5796008575
198	0.5793904546
199	0.5791559778
200	0.5789933129
201	0.5787213484
202	0.5784841259
203	0.57831932
204	0.5781908111
205	0.57802163
206	0.5777743331
207	0.5775870306
208	0.5774506982
209	0.5771331305
210	0.5768869312
211	0.5766624392
212	0.5764144389
213	0.5762488157
214	0.5760853123
215	0.5759624282
216	0.5756797489
217	0.5755736752
218	0.5754050494
219	0.575111744
220	0.5749511656
221	0.5746960559
222	0.5744771208
223	0.5742638855
224	0.5741817012
225	0.5738821711
226	0.5736409594
227	0.5734825919
228	0.5732720091
229	0.5730702503
230	0.5729517856
231	0.5727434277
232	0.5726125529
233	0.5724495642
234	0.5722997717
235	0.5720644237
236	0.5719143239
237	0.5716221847
238	0.5713694251
239	0.5710528165
240	0.570861168
241	0.5706503718
242	0.5704698955
243	0.5701504438
244	0.5699071411
245	0.5697050249
246	0.569454308
247	0.5692569643
248	0.5690407499
249	0.5687768485
250	0.5685043744
251	0.5682465614
252	0.5679813963
253	0.5677671992
254	0.5676358294
255	0.5672882606
256	0.5670553412
257	0.5667497702
258	0.5665595912
259	0.5663602003
260	0.5661271886
261	0.5658596069
262	0.5655170209
263	0.565293188
264	0.5650979266
265	0.5649533859
266	0.564635754
267	0.5644843482
268	0.5643682539
269	0.5641190287
270	0.5638403317
271	0.5635645161
272	0.5633641744
273	0.5631700853
274	0.56298678
275	0.5625862982
276	0.5623609285
277	0.5621288698
278	0.5618963932
279	0.5616535056
280	0.5613366475
281	0.5610865743
282	0.5609787678
283	0.5608044511
284	0.5605594848
285	0.5602946629
286	0.5600329494
287	0.5597947088
288	0.5595329794
289	0.5593679813
290	0.5592307929
291	0.5591048336
292	0.5589114113
293	0.5586227345
294	0.5583668333
295	0.558124316
296	0.5579077352
297	0.5577131252
298	0.5575898676
299	0.5573703545
300	0.5571216571
301	0.5568958151
302	0.5567153567
303	0.5566153099
304	0.5565133445
305	0.5562806199
306	0.5560421954
307	0.5558727782
308	0.5557020015
309	0.5554894967
310	0.5552030899
311	0.5548885846
312	0.5547195495
313	0.5544364736
314	0.5541994613
315	0.5539660875
316	0.5538006552
317	0.5534418696
318	0.5532053326
319	0.5529521895
320	0.5527755971
321	0.5525303287
322	0.5522323688
323	0.5520130555
324	0.5518190553
325	0.5515777318
326	0.5514181444
327	0.5511745531
328	0.5509264277
