iter	Passed	Remaining
0	14	14970
1	26	13447
2	43	14430
3	56	14168
4	68	13722
5	80	13269
6	94	13353
7	108	13490
8	124	13705
9	136	13552
10	159	14348
11	179	14806
12	193	14713
13	208	14712
14	220	14476
15	233	14353
16	246	14255
17	259	14182
18	271	14011
19	283	13910
20	297	13861
21	323	14384
22	347	14741
23	362	14756
24	379	14783
25	393	14748
26	411	14815
27	422	14681
28	462	15472
29	483	15636
30	511	16003
31	533	16136
32	563	16499
33	576	16371
34	588	16236
35	601	16117
36	627	16332
37	645	16342
38	664	16385
39	679	16307
40	692	16186
41	703	16047
42	717	15969
43	728	15835
44	741	15742
45	762	15815
46	773	15692
47	786	15602
48	800	15527
49	813	15455
50	827	15406
51	845	15412
52	857	15318
53	875	15337
54	887	15245
55	910	15354
56	928	15368
57	942	15302
58	953	15212
59	965	15133
60	979	15083
61	993	15035
62	1016	15112
63	1026	15011
64	1037	14928
65	1051	14887
66	1064	14818
67	1077	14766
68	1092	14745
69	1104	14667
70	1124	14719
71	1159	14938
72	1170	14859
73	1183	14805
74	1196	14757
75	1207	14684
76	1223	14671
77	1241	14677
78	1256	14645
79	1270	14608
80	1283	14561
81	1295	14498
82	1308	14454
83	1319	14384
84	1330	14326
85	1347	14323
86	1358	14260
87	1371	14212
88	1387	14198
89	1398	14138
90	1412	14110
91	1427	14088
92	1444	14084
93	1467	14148
94	1488	14179
95	1502	14146
96	1516	14118
97	1531	14093
98	1542	14035
99	1554	13986
100	1567	13948
101	1578	13895
102	1590	13854
103	1603	13812
104	1617	13785
105	1632	13765
106	1645	13730
107	1664	13744
108	1688	13799
109	1712	13855
110	1727	13834
111	1752	13891
112	1767	13873
113	1780	13840
114	1793	13800
115	1807	13772
116	1818	13721
117	1831	13690
118	1844	13656
119	1860	13644
120	1871	13597
121	1886	13579
122	1898	13537
123	1912	13513
124	1923	13462
125	1937	13436
126	1951	13417
127	1963	13377
128	1979	13366
129	1990	13323
130	2002	13285
131	2019	13281
132	2031	13239
133	2042	13202
134	2055	13173
135	2067	13135
136	2078	13094
137	2090	13056
138	2110	13072
139	2124	13049
140	2135	13008
141	2145	12966
142	2162	12961
143	2174	12927
144	2186	12894
145	2198	12862
146	2210	12828
147	2231	12846
148	2245	12827
149	2260	12807
150	2272	12776
151	2282	12736
152	2295	12710
153	2312	12705
154	2325	12679
155	2339	12659
156	2352	12631
157	2367	12614
158	2381	12598
159	2394	12571
160	2409	12557
161	2441	12628
162	2455	12610
163	2482	12652
164	2497	12639
165	2511	12618
166	2525	12595
167	2540	12583
168	2552	12549
169	2563	12514
170	2575	12483
171	2588	12461
